WigleWifi-1.4,appRelease=2.26,model=LG-D855,release=5.0,device=g3,display=LRX21R.A1440231662,board=MSM8974,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:b0:52:3e:c7:bc,Ariel_University,[ESS],2017-12-17 20:53:18,44,-83,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:c8:dc,Ariel_University,[ESS],2017-12-17 20:53:18,44,-88,32.10561229,35.20706336,652,40,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS],2017-12-17 20:53:18,11,-66,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:ca:dc,Ariel_University,[ESS],2017-12-17 20:53:18,36,-83,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:c7:b8,Ariel_University,[ESS],2017-12-17 20:53:18,1,-71,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:ca:38,Ariel_University,[ESS],2017-12-17 20:53:18,6,-68,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:ca:3c,Ariel_University,[ESS],2017-12-17 20:53:18,36,-86,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:ca:d8,Ariel_University,[ESS],2017-12-17 20:53:18,1,-68,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],2017-12-17 20:53:18,40,-84,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],2017-12-17 20:53:18,48,-85,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d0:3c,Ariel_University,[ESS],2017-12-17 20:53:18,58,-92,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],2017-12-17 20:53:18,36,-90,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d3:7c,Ariel_University,[ESS],2017-12-17 20:53:18,36,-83,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d9:bc,Ariel_University,[ESS],2017-12-17 20:53:18,36,-93,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d3:78,Ariel_University,[ESS],2017-12-17 20:53:18,1,-73,32.10561229,35.20706336,652,40,WIFI
f0:b0:52:3e:d4:58,Ariel_University,[ESS],2017-12-17 20:53:18,1,-76,32.10561229,35.20706336,652,40,WIFI
1c:b9:c4:14:38:2c,Ariel_University,[ESS],2017-12-17 20:53:18,56,-92,32.10561229,35.20706336,652,40,WIFI
42502_22811_5359535,Cellcom,UNKNOWN;il,2017-12-17 20:53:18,0,-59,32.10561229,35.20706336,652,40,GSM
f0:b0:52:3e:c7:b8,Ariel_University,[ESS],2017-12-17 20:53:24,1,-64,32.10540512,35.20700707,655,32,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],2017-12-17 20:53:24,40,-69,32.10540512,35.20700707,655,32,WIFI
f0:b0:52:3e:d8:e8,Ariel_University,[ESS],2017-12-17 20:53:24,6,-82,32.10540512,35.20700707,655,32,WIFI
